run_id,pod_name,submitted_ts,scheduled_ts,running_ts,job_start_ts
b6a039f8-c344-4b98-9999-a36c13216fd3,dagster-run-b6a039f8-c344-4b98-9999-a36c13216fd3-vz4pw,2026-04-30T14:27:36+00:00,2026-04-30T14:27:36+00:00,2026-04-30T14:27:36+00:00,2026-04-30T14:29:51+00:00
bc653191-5914-4be5-8210-60df70b62f19,dagster-run-bc653191-5914-4be5-8210-60df70b62f19-m76pq,2026-04-30T13:40:37+00:00,2026-04-30T13:40:37+00:00,2026-04-30T13:40:37+00:00,2026-04-30T13:42:01+00:00
bd78bb0b-87a4-4428-9d85-c99e0ee2575d,dagster-run-bd78bb0b-87a4-4428-9d85-c99e0ee2575d-rm8z4,2026-04-30T14:27:11+00:00,2026-04-30T14:27:11+00:00,2026-04-30T14:27:11+00:00,2026-04-30T14:29:14+00:00
bdc365e8-7725-4a61-8a74-8166312f6b7c,dagster-run-bdc365e8-7725-4a61-8a74-8166312f6b7c-cbr5t,2026-04-30T14:31:17+00:00,2026-04-30T14:31:17+00:00,2026-04-30T14:31:17+00:00,2026-04-30T14:33:12+00:00
bec88418-b58e-4a53-8325-8d6ff8110b9d,dagster-run-bec88418-b58e-4a53-8325-8d6ff8110b9d-f68ql,2026-04-30T14:03:22+00:00,2026-04-30T14:03:22+00:00,2026-04-30T14:03:22+00:00,2026-04-30T14:04:58+00:00
bf43e9ce-048c-4601-b8e6-1d84bb75c8f1,dagster-run-bf43e9ce-048c-4601-b8e6-1d84bb75c8f1-f5fnr,2026-04-30T14:31:54+00:00,2026-04-30T14:31:54+00:00,2026-04-30T14:31:54+00:00,2026-04-30T14:34:02+00:00
c15276cc-0b9f-4e81-bb51-9653a7f8baeb,dagster-run-c15276cc-0b9f-4e81-bb51-9653a7f8baeb-ksjfl,2026-04-30T13:44:17+00:00,2026-04-30T13:44:17+00:00,2026-04-30T13:44:17+00:00,2026-04-30T13:45:44+00:00
ca569721-bbe3-4857-9a10-f2862ba2ea88,dagster-run-ca569721-bbe3-4857-9a10-f2862ba2ea88-nf2pt,2026-04-30T14:11:13+00:00,2026-04-30T14:11:13+00:00,2026-04-30T14:11:13+00:00,2026-04-30T14:12:48+00:00
ccd983e8-4f52-47db-89a4-3cdc87b55192,dagster-run-ccd983e8-4f52-47db-89a4-3cdc87b55192-svzx8,2026-04-30T13:51:57+00:00,2026-04-30T13:51:57+00:00,2026-04-30T13:51:57+00:00,2026-04-30T13:53:27+00:00
ce72cd9d-8cb8-412a-96f2-01cf899e2a5e,dagster-run-ce72cd9d-8cb8-412a-96f2-01cf899e2a5e-ls5gs,2026-04-30T14:27:41+00:00,2026-04-30T14:27:41+00:00,2026-04-30T14:27:42+00:00,2026-04-30T14:29:53+00:00
